,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID
Temperature,1.0,-0.00420358508658843,-0.002651707834755595,-0.008965036348410527,-0.009265533020558206,0.0009885110625963934,-0.01664984204123745,-0.004252381761570436,0.0124451466425905,-0.007302362603810044
Humidity,-0.00420358508658843,1.0,0.04880317154261579,-0.08821865602315897,-0.032125684859262454,-0.06973018675117135,-0.03409453859245811,-0.06277186969639924,0.046845928485824646,0.02603110479698428
CO2_InfraredSensor,-0.002651707834755595,0.04880317154261579,1.0,-0.3181487500401509,-0.3967871686096946,-0.42614866006998114,-0.25923740703955295,-0.41914311537584603,0.30700367858162897,0.08440029967105246
CO2_ElectroChemicalSensor,-0.008965036348410527,-0.08821865602315897,-0.3181487500401509,1.0,0.3884265015322751,0.6525274693641403,0.39643425510282126,0.5885468730112544,-0.46669778150217467,-0.09989823087455368
MetalOxideSensor_Unit1,-0.009265533020558206,-0.032125684859262454,-0.3967871686096946,0.3884265015322751,1.0,0.7423080431211936,0.4544818768837363,0.7714776579077616,-0.6017641305459934,-0.09564364658285869
MetalOxideSensor_Unit2,0.0009885110625963934,-0.06973018675117135,-0.42614866006998114,0.6525274693641403,0.7423080431211936,1.0,0.6124749703404188,0.9495846902101415,-0.7034956607546352,-0.11103553436510599
MetalOxideSensor_Unit3,-0.01664984204123745,-0.03409453859245811,-0.25923740703955295,0.39643425510282126,0.4544818768837363,0.6124749703404188,1.0,0.6089598281254825,-0.44377326613179896,-0.034501665671256336
MetalOxideSensor_Unit4,-0.004252381761570436,-0.06277186969639924,-0.41914311537584603,0.5885468730112544,0.7714776579077616,0.9495846902101415,0.6089598281254825,1.0,-0.702438527146233,-0.08981748308464486
CO_GasSensor,0.0124451466425905,0.046845928485824646,0.30700367858162897,-0.46669778150217467,-0.6017641305459934,-0.7034956607546352,-0.44377326613179896,-0.702438527146233,1.0,0.1641226536021701
Session ID,-0.007302362603810044,0.02603110479698428,0.08440029967105246,-0.09989823087455368,-0.09564364658285869,-0.11103553436510599,-0.034501665671256336,-0.08981748308464486,0.1641226536021701,1.0
