feature,importance_mean,importance_std,model
CO2_ElectroChemicalSensor,0.030543114980842077,0.004492660376191116,Random Forest
MetalOxideSensor_Unit4,0.02576168479520955,0.007674320582874106,Random Forest
MetalOxideSensor_Unit2,0.019355580049081576,0.006957640910356732,Random Forest
MetalOxideSensor_Unit1,0.017811523960713505,0.009435913818665428,Random Forest
MetalOxideSensor_Unit3,0.014822918163134946,0.0024671406797030634,Random Forest
Time of Day,0.011588567148094397,0.005392489816708425,Random Forest
Temperature,0.010992846693525803,0.003809263209401586,Random Forest
Ambient Light Level,0.007529302848688135,0.004501731810458982,Random Forest
CO2_InfraredSensor,0.006628565645179485,0.003080036541311732,Random Forest
HVAC Operation Mode,0.004996722749154525,0.002773194120543303,Random Forest
Humidity,0.00457416257196479,0.002342553826644011,Random Forest
CO_GasSensor,0.003504937707079181,0.004271683315183285,Random Forest
