,count,mean,std,min,25%,50%,75%,max
Temperature,10000.0,42.243124361750716,73.97495585402582,6.903485286098476,18.9375,20.51,23.1725,307.07
Humidity,8072.0,51.64360877106045,21.333894027276244,-49.87,47.66,51.39,53.84,198.9
CO2_InfraredSensor,10000.0,109.86435159079423,33.793850535662074,-17.4721838972646,96.66037730522008,112.80710336607373,124.54022560966104,237.87393823719628
CO2_ElectroChemicalSensor,10000.0,578.6340817377142,22.573536704751458,408.5993857456847,559.3531000191207,579.3610822722147,595.5697591338773,637.8957901222333
MetalOxideSensor_Unit1,10000.0,470.9323163370695,51.45902481127727,286.82566166676975,440.035412955164,469.14695474364987,494.7700452236812,632.8916927682109
MetalOxideSensor_Unit2,8590.0,728.3544078015861,29.140123235411924,611.1689162204458,709.6601223832162,726.7489248289334,744.8797890791703,807.7329425794551
MetalOxideSensor_Unit3,10000.0,680.4886460555889,55.95353026523817,456.67390029486296,658.5197753552566,679.9083525686422,703.5228453738591,906.213097367836
MetalOxideSensor_Unit4,10000.0,612.2477152655434,43.1743535236105,412.7919042275865,585.5117313169421,609.5262448433259,636.0121047187182,736.1123607504734
CO_GasSensor,9166.0,1.2882391446650665,0.7797541948916431,0.0,1.0,1.0,2.0,4.0
Session ID,10000.0,5427.9214,2590.8369237407314,1374.0,3074.0,5214.0,7395.0,9658.0
