column,lower_bound,upper_bound,outlier_count,outlier_percentage
Temperature,12.585,29.525,994,9.94
MetalOxideSensor_Unit3,591.0151703273527,771.027450401763,820,8.2
CO2_InfraredSensor,54.84060484855865,166.35999806632248,805,8.05
MetalOxideSensor_Unit1,357.9334645523882,576.871993626457,609,6.09
Humidity,38.389999999999986,63.110000000000014,414,4.14
MetalOxideSensor_Unit4,509.761171214278,711.7626648213823,293,2.93
MetalOxideSensor_Unit2,656.8306223392849,797.7092891231016,160,1.6
CO_GasSensor,-0.5,3.5,75,0.75
CO2_ElectroChemicalSensor,505.02811134698584,649.8947478060121,5,0.05
Session ID,-3407.5,13876.5,0,0.0
